,id,video,title,description,duration,like_count,timestamp,audio_codec,audio_bitrate,audio_sampling_rate
62,63,https://drive.google.com/file/d/119B50bkS2zi3gTynJmDDzhs-1SAvI_FO/view?usp=share_link,2025-08-07_10-15-50_UTC.mp4,,45.0,,,,,
63,64,https://drive.google.com/file/d/1QeVhYOzQQzWvmASX097fx9-xgSL8aYa9/view?usp=sharing,2024-09-28_05-17-24_UTC.mp4,,84.0,,,,,
64,65,https://drive.google.com/file/d/1GrQmRkI5yNi6dRxBzSH2qvn1U8402Ah7/view?usp=sharing,2024-11-25_16-56-59_UTC.mp4,,45.0,,,,,
65,66,https://drive.google.com/file/d/1jqczoDbEO2obyGra2bu7jwDcRgSOc4EW/view?usp=sharing,2025-02-09_15-48-11_UTC.mp4,,57.0,,,,,
66,67,https://drive.google.com/file/d/16crPLW1l8Azp8EfeujohBtCOsdEcl3Qj/view?usp=sharing,2025-07-24_04-00-00_UTC.mp4,,52.0,,,,,
67,68,https://drive.google.com/file/d/1hcdeL3zzC9e_9quh-eiZoBPpcuJwfqfi/view?usp=sharing,2025-07-26_05-55-21_UTC.mp4,,118.0,,,,,
68,69,https://drive.google.com/file/d/10GXeqRPj5VjASvJUEoqiLjh7YFKilp6W/view?usp=sharing,2025-07-26_14-07-42_UTC.mp4,,70.0,,,,,
69,70,https://drive.google.com/file/d/1ATqtIf4KqJYkRafQBVI3ESNlHHbR0W15/view?usp=sharing,2025-07-27_04-58-43_UTC.mp4,,54.0,,,,,
70,71,https://drive.google.com/file/d/1PRC9-PllLNjuA6E070mqKYmOW7xnTT6e/view?usp=sharing,2025-07-27_08-14-10_UTC.mp4,,55.0,,,,,
71,72,https://drive.google.com/file/d/1uKt0ZxUDJREefKMGeMMsaS3_IWOC3P1o/view?usp=sharing,2025-07-29_14-15-45_UTC.mp4,,60.0,,,,,
72,73,https://drive.google.com/file/d/1YLZL1FogofxtQ1zJKcVNjTSxCKTN6jXz/view?usp=drive_link,HDD tapi Kok Ga Sesuai Specs .mp4,,30.0,,,,,
73,74,https://drive.google.com/file/d/1UB8tXY1CEoU1E3JuvqR6HSIHzT9cVAvH/view?usp=drive_link,Huawei yg worth it cuma ini#shopeexyoutubeshopping1jt.mp4,,47.0,,,,,
74,75,https://drive.google.com/file/d/1nw_h5-2cBUKGVYQ-bvYKcGlGNMNU0Ace/view?usp=drive_link,Jeb0lin Jendela T3tangga.mp4,,133.0,,,,,
75,76,https://drive.google.com/file/d/1j8J2v9fRDJV7_BPiDCq50SEGbuErKV99/view?usp=drive_link,Laptop Murah Buat Valorant.mp4,,72.0,,,,,
76,77,https://drive.google.com/file/d/19V-AnERnUCKVbRmFM1U9UGmV7DagQFhL/view?usp=sharing,Legion GO + Monitor USB-C.mp4,,84.0,,,,,
77,78,https://drive.google.com/file/d/16SaYRXtDM9dBkgy9c0esEkPw_UNpMLF5/view?usp=sharing,Main Game Di TV Kok Ngeblur .mp4,,103.0,,,,,
78,79,https://drive.google.com/file/d/1Z1dQGUr1PjpzPrtCS1mdNnJ54kaks3RA/view?usp=sharing,Mamp0es Tukang Goreng.mp4,,98.0,,,,,
79,80,https://drive.google.com/file/d/1qafYENW_uZGnahRbSTvb3iOYv01wYmm5/view?usp=sharing,"Monitor 180Hz, Kok Ga Smooth Ya ⁉️.mp4",,49.0,,,,,
80,81,https://drive.google.com/file/d/15hAOu9ZkqsMUx6-Zk-jN3OC_vm-4kaig/view?usp=sharing,Putih dan Sexy.mp4,,66.0,,,,,
81,82,https://www.instagram.com/reel/DBYfWZ9y-KV/?igsh=MWo1NzlnbTYzdTQycA==,Video by nyan.tech,"Jadi kapan nih iPhone 16 masuk ke Indo woii lahh ??!!
___
#iphone #iphone16 #iphone16series #iphoneindonesia #apple #iphone15 #iphoneaccessories #hape #phone #phonetok #smartphone #snapsys #snapsysreload #tech #gadget #electronic #nyantech #reels",100.236,314.0,1729506180.0,mp4a.40.5,65.408,44100.0
82,83,https://drive.google.com/file/d/16WW1YRA0NtmMptCht5jS6Ya7nWdNrRcg/view?usp=drive_link,Amelia Fransisca_DJZUGU6yJEL.mp4,,100.0,,,,,
83,84,https://drive.google.com/file/d/1kzfBs5I_n0a0yCwEh5PdNY5GgLqQRcez/view?usp=drive_link,Amelia Fransisca_DLzyFYVSAfu.mp4,,86.0,,,,,
84,85,https://drive.google.com/file/d/10ETQNxneJf4Q185_btWMVVZz1n3CBwp5/view?usp=drive_link,Amelia Fransisca_DMmLUPEpL9B.mp4,,74.0,,,,,
85,86,https://drive.google.com/file/d/1rMIe5I873yBTKrmAlSZTjUoV4eZkZhas/view?usp=drive_link,B-ZONE (BADMINTON HALL)_DDuR9mEy2Ra.mp4,,45.0,,,,,
86,87,https://drive.google.com/file/d/1k3qHBJISNZIr2N_uhRGZK5b4CP5JfaIv/view?usp=drive_link,COZMEED OFFICIAL ｜ COZMEEDER_DHfZQX2u21S.mp4,,47.0,,,,,
87,88,https://drive.google.com/file/d/1scUxliWkEMlJAtMjyX4_zf1hpTzc-11m/view?usp=drive_link,Dio ｜ Tips Badminton_DAdv0PuyzEu.mp4,,21.0,,,,,
88,89,https://drive.google.com/file/d/1wCIyDhTVr-SO6Z6hY5XMdn-gEgmRcamD/view?usp=drive_link,GOFIT Indonesia_DDBwhVwJD7i.mp4,,34.0,,,,,
89,90,https://www.instagram.com/otomotif_tv/reel/DMWrRymh0tx/,Video by aant_otomotif,"Ini adalah Honda CB650R, moge yang pengoperasian giginya kayak motor bebek bisa tinggal injak dan congkel tanpa perlu menarik tuas kopling. 

Bisa begitu karena dibekali teknologi Honda E-Clutch. Memudahkan banget dan bikin lebih nyaman.

.
.
#otomotif #motorcycle #motorbaru #reels #reelsinstagram #reelsvideo #bigbike #honda #cb650r #hondacb650r #eclutch #supra",71.6,7172.0,1753067825.0,mp4a.40.5,76.527,44100.0
90,91,https://www.instagram.com/otomotif_tv/reel/DLlwAYFhEDG/,Video by aant_otomotif,"Mengamati Yamaha R25 generasi terbaru, salah satu yang tidak berubah adalah panel sakelarnya, masih sama dan tetap tergolong sederhana seperti generasi pertama dan kedua. 

Untuk di kelasnya, milik R25 ini bisa dibilang yang paling tidak neko-neko, murni menyajikan tombol yang diperlukan saja. Simpel!

.
.
#otomotif #motorcycle #motorbaru #reels #reelsinstagram #reelsvideo #yamaha #r25 #yamahar25 #250 #r25indonesia",58.033,2979.0,1751426124.0,mp4a.40.5,82.133,44100.0
91,92,https://www.instagram.com/otomotif_tv/reel/DJtG-oUylM-/,Video by dimaspopo_,"Yamaha Gear Ultima 125 Hybrid masih pakai kunci colok-colok,.tapi tetap dikasih answer back system. Bentuknya remote yang terpisah dari anak kuncinya. Gimana menurut kalian? fungsional gak sih?

#yamaha #yamahaindonesia #yamahagear #yamahagear125 #yamahagear125ultima #yamahagearhybrid #fazzio #grandfilano #beat #hondabeat #vario #yamahafreego #motorbaru #motorbaruyamaha #hondabeatindonesia #hondabeatstreet",39.1,257.0,1747378066.0,mp4a.40.5,81.484,44100.0
92,93,https://www.instagram.com/otomotifweekly/reel/DMWrRymh0tx/,Video by aant_otomotif,"Ini adalah Honda CB650R, moge yang pengoperasian giginya kayak motor bebek bisa tinggal injak dan congkel tanpa perlu menarik tuas kopling. 

Bisa begitu karena dibekali teknologi Honda E-Clutch. Memudahkan banget dan bikin lebih nyaman.

.
.
#otomotif #motorcycle #motorbaru #reels #reelsinstagram #reelsvideo #bigbike #honda #cb650r #hondacb650r #eclutch #supra",71.6,7172.0,1753067825.0,mp4a.40.5,76.527,44100.0
93,94,https://www.instagram.com/jagat.review/reel/DM9aQ7jxWd-/,Video by jagat.review,"Mau meningkatkan kualitas hasil foto dan video supaya konten jadi lebih baik? 
Sebelum mulai bermain dengan Lighting, perhatikan video ini dulu.
Ini adalah awal dari seri fotografi/videografi bersama Donovan, seorang commercial photographer.",119.49,622.0,1754367500.0,mp4a.40.5,67.975,44100.0
94,95,https://www.instagram.com/jagat.review/reel/DMUJzKiR8WN/,Video by jagat.review,"OPPO Reno 14 Pro 5G, semua kamera 50MP, semua kamera Auto Focus, semua kamera bisa merekam 4K 60 FPS!

foto-foto malam bukan masalah karena  sudah dilengkapi dengan AI Flash Photography, jadi low light pun tetap aman dan ada juga AI Recompose.

HP ini menggunakan SoC Dimensity 8450, dipakai main game berat juga lancar. Dimensinya tidak terlalu tebal dan cukup ringan, walau  frame metal, back cover kaca, dan baterainya besar di 6200 mAh.

@OPPOIndonesia
#OPPOReno14Series
#GlowInAFlash",54.59,923.0,1752982988.0,mp4a.40.5,57.359,44100.0
